time,open,high,low,close,tick_volume,spread,real_volume
1726259100,0.61618,0.61626,0.61616,0.61621,108.0,11,0.0
1726259400,0.61622,0.61628,0.61607,0.61613,88.0,12,0.0
1726259700,0.61611,0.61616,0.61605,0.61605,84.0,12,0.0
1726260000,0.61606,0.61613,0.61599,0.61609,104.0,12,0.0
1726260300,0.61611,0.61611,0.61599,0.61606,84.0,12,0.0
1726260600,0.61606,0.61613,0.61603,0.61608,89.0,11,0.0
1726260900,0.61608,0.61609,0.61605,0.61609,86.0,12,0.0
1726261200,0.61608,0.61608,0.61579,0.61599,195.0,11,0.0
1726261500,0.61599,0.61625,0.61595,0.61624,147.0,11,0.0
1726261800,0.61624,0.61626,0.61608,0.61614,132.0,12,0.0
1726262100,0.61614,0.6162,0.61606,0.61617,105.0,12,0.0
1726262400,0.61616,0.61622,0.61607,0.6161,110.0,12,0.0
1726262700,0.61609,0.61616,0.616,0.61613,136.0,12,0.0
1726263000,0.61613,0.61615,0.61608,0.61609,100.0,12,0.0
1726263300,0.6161,0.61611,0.61585,0.61588,124.0,12,0.0
1726263600,0.61589,0.61606,0.61586,0.616,115.0,12,0.0
1726263900,0.61599,0.61605,0.61585,0.61587,81.0,10,0.0
1726264200,0.61587,0.6159,0.6156,0.61564,108.0,12,0.0
1726264500,0.61559,0.6157,0.61545,0.6157,103.0,9,0.0
1726264800,0.61569,0.6157,0.61517,0.61523,100.0,12,0.0
1726265100,0.61523,0.61544,0.61523,0.61538,87.0,12,0.0
1726265400,0.61539,0.61558,0.61536,0.61558,81.0,12,0.0
1726265700,0.61558,0.61568,0.61558,0.61565,77.0,12,0.0
1726266000,0.61564,0.61578,0.61563,0.61573,63.0,11,0.0
1726266300,0.61573,0.61578,0.61568,0.61572,113.0,11,0.0
1726266600,0.61569,0.61572,0.61562,0.61569,116.0,12,0.0
1726266900,0.6157,0.61571,0.61554,0.61559,93.0,12,0.0
1726267200,0.61559,0.61578,0.61557,0.61573,100.0,12,0.0
1726267500,0.61573,0.61578,0.6157,0.61573,64.0,12,0.0
1726267800,0.61573,0.61577,0.6157,0.61576,49.0,6,0.0
1726268100,0.61576,0.61576,0.61559,0.61568,87.0,12,0.0
1726268400,0.61568,0.61569,0.61557,0.61563,62.0,11,0.0
1726268700,0.61563,0.61564,0.61557,0.6156,33.0,12,0.0
1726269000,0.6156,0.61563,0.61557,0.61562,47.0,12,0.0
1726269300,0.61561,0.6157,0.61557,0.6157,55.0,12,0.0
1726269600,0.6157,0.6157,0.61564,0.61569,39.0,10,0.0
1726269900,0.61569,0.61569,0.61563,0.61568,66.0,10,0.0
1726270200,0.61569,0.61574,0.61566,0.61568,70.0,10,0.0
1726270500,0.61569,0.61573,0.61563,0.61568,68.0,10,0.0
1726270800,0.61569,0.6157,0.61564,0.61564,46.0,10,0.0
1726271100,0.61565,0.61578,0.61564,0.61569,60.0,10,0.0
1726271400,0.61569,0.61579,0.61563,0.61571,71.0,10,0.0
1726271700,0.61575,0.61576,0.61558,0.61568,29.0,5,0.0
1726444800,0.61548,0.6156,0.61546,0.6155,12.0,79,0.0
1726445100,0.61549,0.61557,0.61544,0.61544,12.0,84,0.0
1726445400,0.61544,0.61566,0.61544,0.61552,23.0,42,0.0
1726445700,0.61571,0.61573,0.61561,0.61561,10.0,28,0.0
1726446000,0.61573,0.61573,0.61558,0.61558,15.0,50,0.0
1726446300,0.61578,0.61579,0.61558,0.61573,13.0,44,0.0
1726446600,0.61558,0.61581,0.61546,0.61574,16.0,28,0.0
1726446900,0.61574,0.61589,0.61558,0.61571,21.0,28,0.0
1726447200,0.61587,0.61588,0.61571,0.61587,19.0,28,0.0
1726447500,0.61571,0.61592,0.61571,0.61585,27.0,28,0.0
1726447800,0.61585,0.61586,0.61583,0.61585,14.0,28,0.0
1726448100,0.61586,0.61586,0.61582,0.61585,11.0,28,0.0
1726448400,0.6159,0.61618,0.6159,0.61607,81.0,15,0.0
1726448700,0.61607,0.61614,0.61607,0.6161,23.0,15,0.0
1726449000,0.6161,0.61611,0.61601,0.61602,19.0,12,0.0
1726449300,0.61602,0.61603,0.61594,0.61594,40.0,12,0.0
1726449600,0.61591,0.61593,0.6158,0.61587,53.0,12,0.0
1726449900,0.61587,0.61613,0.61584,0.61601,81.0,12,0.0
1726450200,0.61601,0.61633,0.61601,0.6162,120.0,12,0.0
1726450500,0.6162,0.61621,0.61603,0.61606,77.0,12,0.0
1726450800,0.61607,0.6163,0.61606,0.61628,71.0,12,0.0
1726451100,0.61628,0.61628,0.61617,0.6162,53.0,12,0.0
1726451400,0.61624,0.61625,0.61616,0.6162,45.0,12,0.0
1726451700,0.6162,0.61641,0.6162,0.61628,51.0,11,0.0
1726452000,0.6163,0.6163,0.61615,0.61622,74.0,10,0.0
1726452300,0.61624,0.61625,0.6161,0.61619,69.0,12,0.0
1726452600,0.61618,0.61619,0.61609,0.61615,64.0,12,0.0
1726452900,0.61616,0.61622,0.61611,0.6162,61.0,12,0.0
1726453200,0.6162,0.61631,0.6162,0.61627,47.0,8,0.0
1726453500,0.61626,0.61632,0.61624,0.61629,41.0,10,0.0
1726453800,0.61629,0.6164,0.61625,0.61635,70.0,11,0.0
1726454100,0.61635,0.61645,0.61634,0.61643,46.0,12,0.0
1726454400,0.61642,0.61653,0.61634,0.61652,58.0,11,0.0
1726454700,0.61653,0.61653,0.61627,0.61628,74.0,10,0.0
1726455000,0.61628,0.61639,0.61628,0.61639,96.0,12,0.0
1726455300,0.61639,0.6164,0.61621,0.61624,115.0,12,0.0
1726455600,0.61625,0.61637,0.61625,0.61626,121.0,12,0.0
1726455900,0.61626,0.61635,0.61619,0.61619,104.0,12,0.0
1726456200,0.6162,0.61623,0.61611,0.61611,75.0,11,0.0
1726456500,0.61612,0.61621,0.61609,0.6162,65.0,12,0.0
1726456800,0.6162,0.61624,0.61613,0.61613,64.0,12,0.0
1726457100,0.61614,0.61615,0.61609,0.61615,83.0,11,0.0
1726457400,0.61615,0.61632,0.61615,0.61632,98.0,11,0.0
1726457700,0.61631,0.61635,0.61618,0.61634,86.0,12,0.0
1726458000,0.61633,0.61634,0.61619,0.61627,98.0,12,0.0
1726458300,0.61626,0.61639,0.6162,0.61637,68.0,12,0.0
1726458600,0.61637,0.61637,0.6162,0.61622,78.0,12,0.0
1726458900,0.61621,0.61631,0.61619,0.61622,95.0,12,0.0
1726459200,0.61621,0.61632,0.61614,0.6163,104.0,12,0.0
1726459500,0.6163,0.61632,0.61604,0.61604,65.0,12,0.0
