time,open,high,low,close,tick_volume,spread,real_volume
1725959700,1.30783,1.30825,1.30779,1.30814,475.0,7,0.0
1725960600,1.30814,1.30983,1.30811,1.30968,589.0,6,0.0
1725961500,1.30967,1.3101,1.30941,1.3101,647.0,7,0.0
1725962400,1.31008,1.31016,1.30932,1.30962,670.0,6,0.0
1725963300,1.30961,1.31074,1.30959,1.31022,529.0,3,0.0
1725964200,1.31022,1.31042,1.3097,1.31007,472.0,7,0.0
1725965100,1.31008,1.31008,1.30893,1.30893,448.0,7,0.0
1725966000,1.30893,1.30925,1.30872,1.30899,440.0,7,0.0
1725966900,1.30899,1.30902,1.30821,1.3083,429.0,6,0.0
1725967800,1.30829,1.30862,1.308,1.30854,472.0,7,0.0
1725968700,1.30854,1.30861,1.30812,1.30851,448.0,3,0.0
1725969600,1.30852,1.30856,1.30785,1.30809,532.0,1,0.0
1725970500,1.30809,1.3089,1.30802,1.30884,450.0,5,0.0
1725971400,1.30885,1.30988,1.30875,1.3098,436.0,7,0.0
1725972300,1.30983,1.31024,1.30958,1.30976,465.0,7,0.0
1725973200,1.30982,1.31013,1.3095,1.3095,389.0,7,0.0
1725974100,1.3095,1.30975,1.30926,1.30965,309.0,7,0.0
1725975000,1.30965,1.30965,1.3091,1.30918,366.0,5,0.0
1725975900,1.30918,1.30991,1.30918,1.30985,425.0,7,0.0
1725976800,1.30985,1.31042,1.30983,1.30995,411.0,6,0.0
1725977700,1.30995,1.31001,1.30932,1.30952,458.0,5,0.0
1725978600,1.30952,1.30954,1.30909,1.30911,377.0,7,0.0
1725979500,1.30911,1.30918,1.30849,1.30888,439.0,7,0.0
1725980400,1.3089,1.30926,1.30851,1.30922,554.0,7,0.0
1725981300,1.30923,1.30943,1.30829,1.3084,472.0,7,0.0
1725982200,1.30841,1.30872,1.30769,1.30799,585.0,6,0.0
1725983100,1.30795,1.3081,1.30683,1.30701,725.0,4,0.0
1725984000,1.30695,1.30751,1.30651,1.30722,727.0,5,0.0
1725984900,1.30724,1.30753,1.30683,1.30715,601.0,7,0.0
1725985800,1.30714,1.30714,1.30622,1.30651,754.0,4,0.0
1725986700,1.3065,1.30685,1.30529,1.30558,847.0,6,0.0
1725987600,1.30558,1.30593,1.30504,1.30531,894.0,4,0.0
