close,RSI,MACD_diff
0.61802,,0.0
0.61771,,-1.9783475783530236e-05
0.61796,,-1.514678614636722e-05
0.61832,,1.1607392756360469e-05
0.6185,,3.9308252093091055e-05
0.61852,,5.584992989718359e-05
0.61817,,4.0790277921520664e-05
0.61803,,2.002171660805619e-05
0.61822,,1.7777839341956455e-05
0.61868,,4.445275284677088e-05
0.6187,,5.967397221736626e-05
0.61901,,8.528942998188924e-05
0.61825,,4.7597698230120205e-05
0.61798,49.447513812154135,3.364279903081985e-06
0.61789,48.247978436658116,-3.117104034206796e-05
0.61795,53.468208092486016,-4.817368735988266e-05
0.61728,41.23711340206259,-9.977298461985568e-05
0.61683,31.234256926951346,-0.00015608458272302605
0.61648,25.60386473429749,-0.00020566029796075457
0.61631,24.24242424242378,-0.0002364593304943802
0.61642,28.3950617283935,-0.0002354670813816049
0.61676,35.05882352941097,-0.00019938594838379478
0.61681,32.846715328465734,-0.00016125589696368276
0.61683,24.795640326973356,-0.00012538745857931788
0.61701,27.937336814618448,-8.232022864897983e-05
0.61727,26.98412698412615,-3.170555344135897e-05
0.61759,40.119760479041375,2.4887732535269552e-05
0.61711,37.74647887323951,3.1150727119466496e-05
0.61753,45.36082474226742,6.290425222080551e-05
0.61668,36.40256959314736,2.7778371197520262e-05
0.6171,47.96380090497654,3.3560251331918734e-05
0.61698,51.83374083129572,3.014119887143876e-05
0.6166,51.45631067961183,4.473122010024543e-06
0.61651,52.47524752475231,-1.5297721949808854e-05
0.61631,48.668280871671335,-3.732095068227832e-05
0.61631,44.06332453825899,-4.675284175320745e-05
0.61652,46.329113924050276,-3.42900224120436e-05
0.61631,43.71980676328499,-3.548260924535738e-05
0.61628,40.85213032581517,-3.360357121629399e-05
0.61596,33.82716049382586,-4.832833368020661e-05
0.61626,33.49875930521108,-3.301103862895892e-05
0.61612,36.585365853657805,-2.767145510107347e-05
0.61621,30.357142857143216,-1.4124486125764984e-05
0.61609,38.78326996197767,-9.512958295107208e-06
0.61609,27.149321266969807,-3.0639341605251196e-06
0.61614,30.373831775702342,7.396595074004512e-06
0.61613,36.723163841806816,1.5977181596422225e-05
0.616,35.91160220994516,1.5235113036396431e-05
0.6157,34.03141361256611,-2.195041412782466e-06
0.61558,32.019704433498106,-1.767906486647953e-05
0.61572,29.59183673469805,-1.4498706261966982e-05
0.61573,33.52272727272849,-8.049845037882703e-06
0.61568,33.14606741573121,-3.7011222587144343e-06
0.61562,38.81578947368536,-1.5264338361651924e-06
0.61568,27.343750000002032,6.83320991856477e-06
0.61564,29.661016949154146,1.2233896864354108e-05
0.61568,26.548672566374194,2.05743836526996e-05
0.61552,25.641025641027355,1.7509831983839757e-05
0.61573,36.95652173913201,3.1030099188321164e-05
0.61587,40.81632653061441,4.9698694473362265e-05
0.61585,40.54054054054399,6.0291423857623014e-05
0.61602,50.65789473684264,7.725500834766802e-05
0.61601,62.601626016252894,8.565920298569946e-05
0.61628,75.3623188405719,0.00010593168733552535
0.61628,72.58064516128209,0.00011510805964745071
0.61615,65.44117647058073,0.00010828991245325878
0.61629,71.03448275861172,0.00010878808345590938
0.61652,77.7777777777694,0.00011934150571251293
0.61624,65.21739130434469,0.00010282512484018141
0.61611,62.1761658031089,7.954602208687435e-05
0.61615,62.17616580310672,6.391620668178046e-05
0.61627,69.84126984126881,5.885989228726666e-05
0.61622,64.1618497109814,4.971274738947458e-05
0.61607,55.74712643678073,3.1985985846248135e-05
0.61605,55.74712643678073,1.8034346701288417e-05
0.61548,37.383177570094,-2.796056990680767e-05
0.61544,36.86635944700557,-5.7741372897511265e-05
0.61565,35.07109004739252,-5.971230446608056e-05
0.61569,36.279069767438955,-5.48621343331444e-05
0.61584,42.857142857144325,-3.8845898811512426e-05
0.61602,43.89140271493181,-1.466751978290037e-05
0.61617,41.784037558685796,1.1478162417205432e-05
0.61695,63.49809885931583,7.76652794188636e-05
0.61723,70.14388489208528,0.00013339410718965174
0.6178,74.924471299094,0.0001978495749959094
0.61796,75.22388059701474,0.00023777968821585356
0.61756,68.10810810810858,0.00022396474205453934
0.61724,65.11627906976778,0.00018178258834876938
0.61748,67.48166259168786,0.0001593552491662752
0.6172,72.63157894736753,0.00011693713515979266
0.61733,74.29305912596439,9.011153718823826e-05
0.61723,70.89947089946912,5.958182326417337e-05
0.61736,71.5762273901802,4.287312292420713e-05
0.61724,68.22916666666526,1.9650931348932346e-05
0.61737,67.81002638522293,9.47318281677216e-06
0.6177,69.26952141057852,2.0746914330894073e-05
0.61783,63.25301204819181,3.206421114091676e-05
0.61759,55.48780487804871,1.9129925998868512e-05
0.61764,47.101449275361645,1.0136777256986799e-05
0.61811,52.44299674267227,3.086560721326907e-05
