time,open,high,low,close,tick_volume,spread,real_volume
1725959700,0.61548,0.61553,0.61513,0.61534,274.0,11,0.0
1725960600,0.61534,0.6158,0.61533,0.61559,369.0,11,0.0
1725961500,0.61559,0.61564,0.61537,0.61554,347.0,11,0.0
1725962400,0.61553,0.61553,0.61488,0.61509,465.0,10,0.0
1725963300,0.61509,0.6155,0.61509,0.61537,396.0,11,0.0
1725964200,0.61537,0.61558,0.61534,0.6154,389.0,11,0.0
1725965100,0.6154,0.6154,0.61497,0.61498,362.0,10,0.0
1725966000,0.61498,0.61535,0.61481,0.61514,362.0,10,0.0
1725966900,0.61515,0.6152,0.61479,0.61494,310.0,11,0.0
1725967800,0.61494,0.61498,0.61466,0.61492,311.0,11,0.0
1725968700,0.61493,0.61498,0.6148,0.61494,242.0,12,0.0
1725969600,0.61494,0.61494,0.61465,0.61491,313.0,12,0.0
1725970500,0.61494,0.61522,0.61488,0.61519,319.0,11,0.0
1725971400,0.61519,0.6161,0.61519,0.61601,288.0,10,0.0
1725972300,0.61601,0.61611,0.61563,0.61583,268.0,10,0.0
1725973200,0.61584,0.61593,0.61574,0.61575,225.0,11,0.0
1725974100,0.61575,0.61591,0.61564,0.61577,199.0,11,0.0
1725975000,0.61577,0.61578,0.61556,0.61566,204.0,12,0.0
1725975900,0.61566,0.61623,0.61566,0.61612,353.0,11,0.0
1725976800,0.61612,0.61646,0.61602,0.61603,316.0,11,0.0
1725977700,0.61603,0.61604,0.61573,0.6158,265.0,11,0.0
1725978600,0.61579,0.61585,0.61564,0.61564,274.0,11,0.0
1725979500,0.61565,0.61568,0.6153,0.61542,327.0,9,0.0
1725980400,0.61542,0.61564,0.61516,0.61559,395.0,11,0.0
1725981300,0.61559,0.61603,0.61547,0.61549,396.0,11,0.0
1725982200,0.6155,0.61584,0.61543,0.61565,436.0,11,0.0
1725983100,0.61563,0.61569,0.61527,0.61533,466.0,11,0.0
1725984000,0.61529,0.61555,0.61497,0.6152,592.0,11,0.0
1725984900,0.61518,0.61556,0.61508,0.61533,466.0,10,0.0
1725985800,0.61531,0.61531,0.6144,0.61463,654.0,10,0.0
1725986700,0.61464,0.61478,0.61418,0.61462,634.0,10,0.0
1725987600,0.61458,0.6148,0.6143,0.61436,653.0,8,0.0
1725988500,0.61434,0.61471,0.61424,0.61463,668.0,10,0.0
1725989400,0.61464,0.61465,0.61416,0.6144,642.0,11,0.0
1725990300,0.6144,0.61491,0.61433,0.61484,623.0,9,0.0
1725991200,0.61485,0.61545,0.61479,0.61542,566.0,9,0.0
1725992100,0.61544,0.61563,0.61522,0.61544,590.0,9,0.0
1725993000,0.61544,0.61577,0.61524,0.61546,517.0,9,0.0
1725993900,0.61546,0.61562,0.61529,0.61534,507.0,11,0.0
1725994800,0.61534,0.61534,0.61471,0.61477,589.0,10,0.0
1725995700,0.61477,0.61496,0.61468,0.61492,470.0,10,0.0
