close,RSI,MACD_diff
1.10975,,0.0
1.10978,,1.9145299145151285e-06
1.10982,,5.562500304385765e-06
1.10981,,6.902163711878017e-06
1.10985,,9.89994941595711e-06
1.10988,,1.3119124547012575e-05
1.10981,,9.896640281388782e-06
1.10983,,8.5266099506289e-06
1.1098,,5.1791640523621175e-06
1.10989,,8.414106326048322e-06
1.10994,,1.3033296961255115e-05
1.10997,,1.697190324991694e-05
1.10996,,1.7686075252160202e-05
1.11005,77.77777777776407,2.2683252473192404e-05
1.11005,77.77777777776407,2.4307684638426283e-05
1.11007,77.35849056602113,2.4953941271174092e-05
1.10989,55.223880597016404,1.2132810747062603e-05
1.10982,50.68493150685389,-1.465022402870656e-06
1.1098,46.478873239429134,-1.1642634554515346e-05
1.10979,43.47826086956942,-1.8478278641667277e-05
1.10988,54.92957746479138,-1.643702401513653e-05
1.1099,54.92957746479138,-1.3368680354312938e-05
1.10988,55.71428571429387,-1.2339661455683708e-05
1.11002,58.66666666666903,-2.403843885669098e-06
1.11006,58.10810810811906,6.217443027843894e-06
1.11028,66.66666666667462,2.5035874163562798e-05
1.11029,67.7419354838702,3.580041326694713e-05
1.11021,58.695652173909366,3.512744781963534e-05
1.11033,63.461538461539284,4.0004424266723904e-05
1.11029,60.377358490568405,3.7802333222776413e-05
1.11026,70.32967032966013,3.183067454501141e-05
1.11025,75.29411764704099,2.5013172849395617e-05
1.11036,79.78723404254717,2.5624007418637235e-05
1.11019,68.18181818180717,1.2931410125161143e-05
1.1102,65.68627450979815,4.023552581964424e-06
1.11025,66.66666666665256,4.983972660071805e-07
1.11021,65.4205607476558,-5.212915799029293e-06
1.1102400000000001,61.45833333333285,-7.515955963381438e-06
1.11033,63.3663366336577,-3.715837318377476e-06
1.11037,55.42168674699311,5.280004853932798e-07
1.11045,58.888888888882036,7.378987004050792e-06
1.11056,68.8172043010727,1.7402655505061452e-05
1.11062,66.66666666665816,2.565889497849338e-05
1.11041,55.769230769225025,1.5085287419381896e-05
1.1104,56.86274509804049,5.992932857471289e-06
1.11059,64.16666666666852,1.1055508885207392e-05
1.11066,62.93103448275912,1.7041415180118802e-05
1.11066,73.73737373737646,1.8786178599769867e-05
1.11062,70.58823529411508,1.5185688394517006e-05
1.11063,69.38775510204358,1.1579912353260952e-05
1.11083,77.19298245614513,2.0258807153639846e-05
1.11073,70.24793388429737,1.6991060572398307e-05
1.11071,66.66666666667317,1.1473378334955422e-05
1.11082,68.59504132231527,1.3104872183331283e-05
1.11098,70.54263565892353,2.2292820032736793e-05
1.11107,70.0787401574861,3.121731313510714e-05
1.11116,70.76923076923603,3.943769065908791e-05
1.11117,84.5454545454696,4.1590516826527796e-05
1.11117,85.32110091743436,3.909449480749615e-05
1.11133,84.90566037736205,4.393723235663271e-05
1.11138,84.61538461538954,4.600581306278106e-05
1.11147,85.84070796460543,4.867501758390656e-05
1.11153,89.56521739131107,4.955528723906856e-05
1.11139,79.68750000001518,3.639166270092656e-05
1.11139,75.92592592594268,2.396718528162111e-05
1.11138,82.828282828298,1.1964499892234753e-05
1.11144,85.43689320389082,5.29535312902542e-06
1.1113,72.6415094339674,-1.0456829202057003e-05
1.11122,62.244897959190375,-2.7223433774256904e-05
1.11115,54.16666666667245,-4.304670108714405e-05
1.11112,47.7777777777871,-5.479840236983179e-05
1.11105,43.75000000000289,-6.580989125333633e-05
1.11102,42.424242424236304,-7.30774882958262e-05
1.11122,44.660194174765856,-6.27728859612828e-05
1.111,34.166666666665904,-6.865490046802661e-05
1.11112,35.77235772358662,-6.25195438004701e-05
1.11112,32.478632478646105,-5.66891822020158e-05
1.11121,41.96428571428589,-4.548282693636035e-05
1.11116,40.17094017093741,-4.032516702287645e-05
1.11115,40.17094017094503,-3.6584469463441755e-05
1.11119,39.13043478260702,-3.065372340620051e-05
1.11114,42.452830188682604,-2.9334920595169026e-05
1.11114,45.91836734693554,-2.771818487629687e-05
1.11112,48.38709677419509,-2.7212640466749795e-05
1.11108,47.872340425530155,-2.864440088000849e-05
1.11116,55.789473684201674,-2.3491965135750327e-05
1.11113,55.78947368421471,-2.14491820723534e-05
1.11114,44.73684210525547,-1.886096155158383e-05
1.11108,56.666666666679006,-2.0490798716565836e-05
1.11096,36.666666666641994,-2.8461351118105284e-05
1.111,40.624999999983736,-2.9712616075443034e-05
1.11104,35.59322033897412,-2.6619047397703333e-05
1.11103,38.18181818181304,-2.4094604150316156e-05
1.1111,45.901639344252146,-1.6898883601257964e-05
1.111,35.8208955223935,-1.7962995373750835e-05
1.11099,38.09523809523306,-1.836389648482889e-05
1.11105,43.47826086957362,-1.3819002600915866e-05
1.11129,59.340659340645395,5.106244711485067e-06
1.11139,65.97938144329473,2.3106615123663715e-05
1.11143,64.51612903225268,3.570195697224061e-05
